episode,steps,reward,bw_mbps,delay_ms,loss_ratio
1,5,0.613,0.0,0.0843,0.0
2,8,0.769,0.0,0.0783,0.0
3,23,-0.317,0.0,0.0904,0.0
4,25,0.803,0.0,0.0846,0.0
5,26,0.921,0.0,0.0793,0.0
6,44,-2.462,0.0,0.0,0.0
7,47,0.753,0.0,0.0937,0.0
8,53,0.377,0.0,0.1051,0.0
9,64,-0.083,0.0,0.094,0.0
10,66,0.859,0.0,0.0732,0.0
11,70,0.558,0.0,0.1096,0.0
12,72,0.833,0.0,0.0822,0.0
13,82,0.015,0.0,0.0951,0.0
14,86,0.566,0.0,0.1019,0.0
15,90,0.619,0.0,0.0854,0.0
16,91,0.887,0.0,0.1127,0.0
17,100,0.175,0.0,0.0947,0.0
18,107,0.385,0.0,0.0969,0.0
19,111,0.558,0.0,0.1096,0.0
20,114,0.769,0.0,0.0783,0.0
21,118,0.603,0.0,0.0954,0.0
22,130,0.006,0.0,0.0828,0.0
23,144,-0.286,0.0,0.0894,0.0
24,148,0.563,0.0,0.1096,0.0
25,149,0.892,0.0,0.1082,0.0
26,156,0.363,0.0,0.0886,0.0
27,157,0.932,0.0,0.0683,0.0
28,158,0.915,0.0,0.0846,0.0
29,167,0.132,0.0,0.0903,0.0
30,169,0.828,0.0,0.0932,0.0
31,170,0.932,0.0,0.0683,0.0
32,176,0.402,0.0,0.0958,0.0
33,186,0.114,0.0,0.085,0.0
34,189,0.782,0.0,0.0773,0.0
35,194,0.557,0.0,0.0937,0.0
36,208,-0.171,0.0,0.0849,0.0
37,218,0.152,0.0,0.0776,0.0
38,225,0.32,0.0,0.0879,0.0
39,227,0.833,0.0,0.0822,0.0
40,232,0.48,0.0,0.0972,0.0
41,243,-0.04,0.0,0.0993,0.0
42,261,-2.51,0.0,0.0,0.0
43,265,0.586,0.0,0.103,0.0
44,270,0.542,0.0,0.0928,0.0
45,274,0.614,0.0,0.0971,0.0
46,276,0.819,0.0,0.0964,0.0
47,283,0.352,0.0,0.0881,0.0
48,289,0.423,0.0,0.0911,0.0
49,298,0.286,0.0,0.0851,0.0
50,302,0.684,0.0,0.0846,0.0
51,303,0.888,0.0,0.1118,0.0
52,306,0.782,0.0,0.0773,0.0
53,309,0.711,0.0,0.0857,0.0
54,312,0.756,0.0,0.0773,0.0
55,320,0.18,0.0,0.0983,0.0
56,328,0.24,0.0,0.0924,0.0
57,339,-0.065,0.0,0.0969,0.0
58,344,0.55,0.0,0.0976,0.0
59,347,0.75,0.0,0.0831,0.0
60,352,0.544,0.0,0.0867,0.0
61,370,-2.451,0.0,0.0,0.0
62,371,0.915,0.0,0.0846,0.0
63,373,0.797,0.0,0.0954,0.0
64,378,0.52,0.0,0.0941,0.0
65,379,0.921,0.0,0.0793,0.0
66,381,0.79,0.0,0.0971,0.0
67,385,0.591,0.0,0.0971,0.0
68,388,0.753,0.0,0.0937,0.0
69,389,0.921,0.0,0.0793,0.0
70,400,-0.101,0.0,0.0948,0.0
71,401,0.892,0.0,0.1082,0.0
72,402,0.915,0.0,0.0846,0.0
73,417,-0.343,0.0,0.0892,0.0
74,420,0.72,0.0,0.0828,0.0
75,425,0.566,0.0,0.0921,0.0
76,430,0.566,0.0,0.0889,0.0
77,431,0.892,0.0,0.1082,0.0
78,433,0.844,0.0,0.088,0.0
79,437,0.638,0.0,0.0959,0.0
80,439,0.782,0.0,0.1096,0.0
81,445,0.518,0.0,0.0828,0.0
82,450,0.57,0.0,0.0951,0.0
83,460,0.112,0.0,0.085,0.0
84,461,0.892,0.0,0.1082,0.0
85,466,0.547,0.0,0.0908,0.0
86,470,0.575,0.0,0.103,0.0
87,472,0.803,0.0,0.0846,0.0
88,473,0.887,0.0,0.1127,0.0
89,474,0.932,0.0,0.0683,0.0
90,476,0.833,0.0,0.0822,0.0
91,494,-2.615,0.0,0.0,0.0
92,499,0.574,0.0,0.0908,0.0
93,506,0.374,0.0,0.0866,0.0
94,507,0.915,0.0,0.0846,0.0
95,509,0.839,0.0,0.0822,0.0
96,516,0.428,0.0,0.088,0.0
97,520,0.678,0.0,0.0777,0.0
98,527,0.374,0.0,0.0854,0.0
99,534,0.341,0.0,0.0895,0.0
100,545,0.142,0.0,0.0809,0.0
101,548,0.696,0.0,0.1003,0.0
102,550,0.839,0.0,0.0822,0.0
103,558,0.251,0.0,0.0853,0.0
104,559,0.921,0.0,0.0793,0.0
105,562,0.703,0.0,0.0956,0.0
106,575,-0.185,0.0,0.0866,0.0
107,580,0.597,0.0,0.089,0.0
108,581,0.921,0.0,0.0793,0.0
109,582,0.921,0.0,0.0793,0.0
110,583,0.932,0.0,0.0683,0.0
111,597,0.0,0.0,0.0662,0.0
112,601,0.722,0.0,0.0816,0.0
113,609,0.509,0.0,0.0589,0.0
114,611,0.898,0.0,0.0534,0.0
115,629,-2.076,0.0,0.0,0.0
116,630,0.951,0.0,0.0486,0.0
117,638,0.429,0.0,0.0733,0.0
118,640,0.88,0.0,0.0599,0.0
119,643,0.726,0.0,0.0926,0.0
120,654,0.079,0.0,0.0793,0.0
121,655,0.951,0.0,0.0486,0.0
122,658,0.734,0.0,0.0743,0.0
123,659,0.916,0.0,0.0839,0.0
124,660,0.936,0.0,0.0641,0.0
125,661,0.886,0.0,0.1142,0.0
126,664,0.784,0.0,0.0842,0.0
127,665,0.936,0.0,0.0641,0.0
128,666,0.951,0.0,0.0486,0.0
129,684,-1.909,0.0,0.0,0.0
130,687,0.734,0.0,0.0743,0.0
131,688,0.916,0.0,0.0839,0.0
132,690,0.819,0.0,0.0974,0.0
133,708,-2.686,0.0,0.0,0.0
134,709,0.94,0.0,0.0604,0.0
135,710,0.936,0.0,0.0641,0.0
136,711,0.951,0.0,0.0486,0.0
137,713,0.882,0.0,0.0544,0.0
138,714,0.916,0.0,0.0839,0.0
139,715,0.916,0.0,0.0839,0.0
140,733,-1.939,0.0,0.0,0.0
141,734,0.886,0.0,0.1142,0.0
142,735,0.941,0.0,0.0593,0.0
143,736,0.941,0.0,0.0593,0.0
144,737,0.951,0.0,0.0486,0.0
145,738,0.941,0.0,0.0593,0.0
146,739,0.94,0.0,0.0604,0.0
147,740,0.941,0.0,0.0593,0.0
148,758,-1.909,0.0,0.0,0.0
149,759,0.94,0.0,0.0604,0.0
150,777,-2.686,0.0,0.0,0.0
151,779,0.897,0.0,0.0544,0.0
152,797,-2.686,0.0,0.0,0.0
153,798,0.886,0.0,0.1142,0.0
154,799,0.941,0.0,0.0593,0.0
155,817,-2.622,0.0,0.0,0.0
156,835,-1.909,0.0,0.0,0.0
157,853,-2.686,0.0,0.0,0.0
158,854,0.951,0.0,0.0486,0.0
159,872,-2.622,0.0,0.0,0.0
160,890,-2.622,0.0,0.0,0.0
161,891,0.886,0.0,0.1142,0.0
162,892,0.951,0.0,0.0486,0.0
163,895,0.734,0.0,0.0743,0.0
164,896,0.941,0.0,0.0593,0.0
165,899,0.784,0.0,0.0842,0.0
166,900,0.94,0.0,0.0604,0.0
167,901,0.916,0.0,0.0839,0.0
168,902,0.94,0.0,0.0604,0.0
169,904,0.897,0.0,0.0544,0.0
170,922,-2.622,0.0,0.0,0.0
