steps,reward
1,-0.068299
2,-0.073188
3,-0.077263
4,-0.085404
5,0.915658
6,-0.068299
7,-0.084611
8,0.921663
9,-0.068299
10,-0.088032
11,-0.086806
12,-0.09256
13,-0.087286
14,-0.091051
15,-0.087496
16,-0.090296
17,-0.089601
18,-0.088686
19,-0.088277
20,-0.090086
21,-0.089621
22,-0.088966
23,0.90962
24,-0.111799
25,0.915389
26,0.920701
27,-0.079299
28,-0.082243
29,-0.091614
30,-0.085138
31,-0.088947
32,-0.084976
33,-0.087751
34,-0.086726
35,-0.088816
36,-0.087864
37,-0.087501
38,-0.086832
39,-0.085116
40,-0.084714
41,-0.083412
42,-0.08516
43,-0.085121
44,-1.0
45,-0.068299
46,-0.084611
47,0.906316
48,-0.112699
49,-0.097088
50,-0.101056
51,-0.102952
52,-0.104144
53,0.894937
54,-0.111799
55,-0.093228
56,-0.099466
57,-0.095093
58,-0.098072
59,-0.099719
60,-0.101132
61,-0.09877
62,-0.096773
63,-0.09539
64,0.905951
65,-0.068299
66,0.926812
67,-0.111799
68,-0.109549
69,-0.110163
70,0.890451
71,-0.084599
72,0.917757
73,-0.108199
74,-0.095355
75,-0.099466
76,-0.102034
77,-0.098072
78,-0.095184
79,-0.097283
80,-0.098564
81,-0.096536
82,0.904852
83,-0.111799
84,-0.109549
85,-0.110163
86,0.898068
87,-0.108199
88,-0.096399
89,-0.091513
90,0.914596
91,0.887301
92,-0.084599
93,-0.097088
94,-0.092627
95,-0.089666
96,-0.088564
97,-0.09214
98,-0.090961
99,-0.093291
100,0.905321
101,-0.079299
102,-0.082243
103,-0.081337
104,-0.088799
105,-0.092085
106,-0.095184
107,0.903098
108,-0.111799
109,-0.109549
110,-0.110163
111,0.890451
112,-0.068299
113,-0.084611
114,0.921663
115,-0.112699
116,-0.097088
117,-0.091614
118,0.904601
119,-0.068299
120,-0.088032
121,-0.080985
122,-0.086422
123,-0.082303
124,-0.085843
125,-0.082919
126,-0.085544
127,-0.084869
128,-0.082897
129,-0.082584
130,0.917219
131,-0.084599
132,-0.097088
133,-0.092627
134,-0.097088
135,-0.094373
136,-0.09214
137,-0.090961
138,-0.093377
139,-0.092306
140,-0.09115
141,-0.090495
142,-0.09214
143,-0.090119
144,0.910568
145,-0.108199
146,-0.109549
147,-0.10903
148,0.890451
149,0.891801
150,-0.111799
151,-0.084611
152,-0.092026
153,-0.084611
154,-0.088904
155,-0.084611
156,0.911376
157,0.931701
158,0.915401
159,-0.108199
160,-0.109549
161,-0.093684
162,-0.090299
163,-0.094367
164,-0.096459
165,-0.091766
166,-0.093587
167,0.909741
168,-0.079299
169,0.906772
170,0.931701
171,-0.112699
172,-0.097088
173,-0.101056
174,-0.096725
175,-0.093695
176,0.904216
177,-0.111799
178,-0.084611
179,-0.093974
180,-0.086422
181,-0.085066
182,-0.081841
183,-0.085956
184,-0.085762
185,-0.085099
186,0.914958
187,-0.068299
188,-0.073188
189,0.922737
190,-0.084599
191,-0.082243
192,-0.091513
193,-0.089694
194,0.906305
195,-0.068299
196,-0.084611
197,-0.078337
198,-0.086422
199,-0.082303
200,-0.085843
201,-0.08494
202,-0.087458
203,-0.084869
204,-0.086889
205,-0.084823
206,-0.087099
207,-0.085358
208,0.91506
209,-0.108199
210,-0.095355
211,-0.085692
212,-0.084271
213,-0.080799
214,-0.080577
215,-0.078658
216,-0.078729
217,-0.077457
218,0.922379
219,-0.112699
220,-0.097088
221,-0.101891
222,-0.097088
223,-0.093853
224,-0.089121
225,0.912146
226,-0.084599
227,0.917757
228,-0.111799
229,-0.109549
230,-0.099466
231,-0.101932
232,0.902833
233,-0.084599
234,-0.082243
235,-0.089632
236,-0.095093
237,-0.097599
238,-0.099719
239,-0.097199
240,-0.099022
241,-0.097173
242,-0.098426
243,0.90072
244,-0.068299
245,-0.073188
246,-0.085692
247,-0.090299
248,-0.088204
249,-0.092049
250,-0.090349
251,-0.092899
252,-0.094391
253,-0.092954
254,-0.094576
255,-0.093377
256,-0.091138
257,-0.092189
258,-0.090322
259,-0.091639
260,-0.09004
261,-1.0
262,-0.112699
263,-0.097088
264,-0.101056
265,0.897048
266,-0.084599
267,-0.097088
268,-0.092627
269,-0.089666
270,0.907173
271,-0.111799
272,-0.084611
273,-0.092026
274,0.90292
275,-0.084599
276,0.903601
277,-0.112699
278,-0.088032
279,-0.095622
280,-0.088032
281,-0.086444
282,-0.089487
283,0.911918
284,-0.112699
285,-0.088032
286,-0.095622
287,-0.09256
288,-0.096222
289,0.908949
290,-0.079299
291,-0.073188
292,-0.075068
293,-0.073188
294,-0.080372
295,-0.081154
296,-0.085225
297,-0.082874
298,0.914901
299,-0.068299
300,-0.084611
301,-0.078337
302,0.915389
303,0.888201
304,-0.068299
305,-0.073188
306,0.922737
307,-0.108199
308,-0.095355
309,0.914308
310,-0.084599
311,-0.082243
312,0.922737
313,-0.108199
314,-0.109549
315,-0.099466
316,-0.101932
317,-0.103499
318,-0.099466
319,-0.100971
320,0.901656
321,-0.112699
322,-0.097088
323,-0.091614
324,-0.089666
325,-0.093853
326,-0.09214
327,-0.090483
328,0.907636
329,-0.108199
330,-0.109549
331,-0.093684
332,-0.098158
333,-0.091372
334,-0.094653
335,-0.090402
336,-0.09229
337,-0.09433
338,-0.095578
339,0.90308
340,-0.084599
341,-0.082243
342,-0.089632
343,-0.095093
344,0.902401
345,-0.084599
346,-0.082243
347,0.916915
348,-0.111799
349,-0.084611
350,-0.082841
351,-0.088632
352,0.913333
353,-0.084599
354,-0.082243
355,-0.083085
356,-0.082243
357,-0.082755
358,-0.082243
359,-0.085199
360,-0.082785
361,-0.085075
362,-0.087764
363,-0.087434
364,-0.086809
365,-0.086615
366,-0.086135
367,-0.087338
368,-0.08885
369,-0.089806
370,-1.0
371,0.915401
372,-0.108199
373,0.904645
374,-0.111799
375,-0.084611
376,-0.092026
377,-0.09708
378,0.905892
379,0.920701
380,-0.112699
381,0.902912
382,-0.112699
383,-0.097088
384,-0.101891
385,0.902912
386,-0.068299
387,-0.084611
388,0.906316
389,0.920701
390,-0.112699
391,-0.097088
392,-0.101891
393,-0.097088
394,-0.099503
395,-0.100922
396,-0.102096
397,-0.099666
398,-0.097629
399,-0.096181
400,0.905197
401,0.891801
402,0.915401
403,-0.112699
404,-0.088032
405,-0.085345
406,-0.085138
407,-0.090149
408,-0.086103
409,-0.089534
410,-0.086585
411,-0.089196
412,-0.086874
413,-0.088983
414,-0.088577
415,-0.087937
416,-0.087672
417,0.910819
418,-0.111799
419,-0.084611
420,0.917159
421,-0.079299
422,-0.082243
423,-0.091513
424,-0.088799
425,0.907915
426,-0.079299
427,-0.093228
428,-0.082841
429,-0.090305
430,0.911053
431,0.891801
432,-0.068299
433,0.911968
434,-0.079299
435,-0.095355
436,-0.091513
437,0.904096
438,-0.108199
439,0.890451
440,-0.068299
441,-0.084611
442,-0.082841
443,-0.078564
444,-0.083549
445,0.917159
446,-0.068299
447,-0.088032
448,-0.086806
449,-0.092436
450,0.904924
451,-0.112699
452,-0.097088
453,-0.091614
454,-0.085138
455,-0.084076
456,-0.081154
457,-0.084219
458,-0.081945
459,-0.085099
460,0.914958
461,0.891801
462,-0.084599
463,-0.097088
464,-0.086806
465,-0.09256
466,0.909171
467,-0.111799
468,-0.109549
469,-0.099953
470,0.897048
471,-0.111799
472,0.915389
473,0.887301
474,0.931701
475,-0.084599
476,0.917757
477,-0.079299
478,-0.095355
479,-0.090414
480,-0.088799
481,-0.093016
482,-0.095184
483,-0.097283
484,-0.098564
485,-0.096536
486,-0.097892
487,-0.096507
488,-0.09761
489,-0.096489
490,-0.097418
491,-0.098072
492,-0.098785
493,-0.097746
494,-1.0
495,-0.068299
496,-0.088032
497,-0.086806
498,-0.092436
499,0.909197
500,-0.084599
501,-0.097088
502,-0.086806
503,-0.09256
504,-0.087286
505,-0.090114
506,0.913404
507,0.915401
508,-0.079299
509,0.917757
510,-0.079299
511,-0.073188
512,-0.075068
513,-0.084271
514,-0.084342
515,-0.088603
516,0.912004
517,-0.084599
518,-0.082243
519,-0.077263
520,0.922284
521,-0.079299
522,-0.095355
523,-0.091513
524,-0.096221
525,-0.090151
526,-0.088543
527,0.91462
528,-0.112699
529,-0.088032
530,-0.095622
531,-0.088032
532,-0.092517
533,-0.091051
534,0.910466
535,-0.079299
536,-0.073188
537,-0.075068
538,-0.073188
539,-0.078704
540,-0.078799
541,-0.077049
542,-0.080208
543,-0.08011
544,-0.082486
545,0.91909
546,-0.108199
547,-0.096399
548,0.899668
549,-0.079299
550,0.917757
551,-0.108199
552,-0.096399
553,-0.101056
554,-0.092436
555,-0.090151
556,-0.08916
557,-0.087927
558,0.914725
559,0.920701
560,-0.112699
561,-0.088032
562,0.904378
563,-0.111799
564,-0.093228
565,-0.089632
566,-0.095399
567,-0.092827
568,-0.090663
569,-0.086936
570,-0.089196
571,-0.088126
572,-0.087706
573,-0.086975
574,-0.085144
575,0.913375
576,-0.068299
577,-0.073188
578,-0.082841
579,-0.090299
580,0.910997
581,0.920701
582,0.920701
583,0.931701
584,-0.079299
585,-0.082243
586,-0.091513
587,-0.088799
588,-0.066104
589,-0.065007
590,-0.064245
591,-0.067053
592,-0.066258
593,-0.066104
594,-0.065512
595,-0.065011
596,-0.066697
597,0.933796
598,-0.064099
599,-0.061356
600,-0.070749
601,0.918389
602,-0.064099
603,-0.061356
604,-0.062179
605,-0.061586
606,-0.061104
607,-0.060957
608,-0.06072
609,0.941116
610,-0.048599
611,0.946646
612,-0.083899
613,-0.072966
614,-0.064263
615,-0.064234
616,-0.063362
617,-0.063451
618,-0.062878
619,-0.062514
620,-0.062175
621,-0.060597
622,-0.060825
623,-0.059626
624,-0.059875
625,-0.058919
626,-0.058943
627,-0.059178
628,-0.058433
629,-1.0
630,0.951401
631,-0.060399
632,-0.05991
633,-0.068477
634,-0.078638
635,-0.079781
636,-0.076747
637,-0.074193
638,0.926673
639,-0.060399
640,0.94009
641,-0.083899
642,-0.097366
643,0.907444
644,-0.083899
645,-0.097366
646,-0.079949
647,-0.08756
648,-0.086764
649,-0.082695
650,-0.082883
651,-0.080263
652,-0.080706
653,-0.078803
654,0.920687
655,0.951401
656,-0.114199
657,-0.077754
658,0.925659
659,0.916101
660,0.935901
661,0.885801
662,-0.060399
663,-0.072149
664,0.915837
665,0.935901
666,0.951401
667,-0.048599
668,-0.054411
669,-0.052176
670,-0.054411
671,-0.053027
672,-0.054411
673,-0.053409
674,-0.054411
675,-0.053626
676,-0.054411
677,-0.053766
678,-0.054411
679,-0.053863
680,-0.054411
681,-0.053935
682,-0.054411
683,-0.05399
684,-1.0
685,-0.114199
686,-0.077754
687,0.925659
688,0.916101
689,-0.083899
690,0.902634
691,-0.114199
692,-0.097366
693,-0.102545
694,-0.097366
695,-0.100426
696,-0.097366
697,-0.099538
698,-0.097366
699,-0.099049
700,-0.097366
701,-0.09874
702,-0.097366
703,-0.098526
704,-0.097366
705,-0.098371
706,-0.097366
707,-0.098252
708,-1.0
709,0.939601
710,0.935901
711,0.951401
712,-0.064099
713,0.945589
714,0.916101
715,0.916101
716,-0.064099
717,-0.054411
718,-0.057053
719,-0.054411
720,-0.055941
721,-0.054411
722,-0.055488
723,-0.054411
724,-0.055242
725,-0.054411
726,-0.055087
727,-0.054411
728,-0.054981
729,-0.054411
730,-0.054904
731,-0.054411
732,-0.054845
733,-1.0
734,0.885801
735,0.940701
736,0.940701
737,0.951401
738,0.940701
739,0.939601
740,0.940701
741,-0.048599
742,-0.054411
743,-0.052176
744,-0.054411
745,-0.053027
746,-0.054411
747,-0.053409
748,-0.054411
749,-0.053626
750,-0.054411
751,-0.053766
752,-0.054411
753,-0.053863
754,-0.054411
755,-0.053935
756,-0.054411
757,-0.05399
758,-1.0
759,0.939601
760,-0.114199
761,-0.097366
762,-0.102545
763,-0.097366
764,-0.100426
765,-0.097366
766,-0.099538
767,-0.097366
768,-0.099049
769,-0.097366
770,-0.09874
771,-0.097366
772,-0.098526
773,-0.097366
774,-0.098371
775,-0.097366
776,-0.098252
777,-1.0
778,-0.048599
779,0.945589
780,-0.114199
781,-0.097366
782,-0.102545
783,-0.097366
784,-0.100426
785,-0.097366
786,-0.099538
787,-0.097366
788,-0.099049
789,-0.097366
790,-0.09874
791,-0.097366
792,-0.098526
793,-0.097366
794,-0.098371
795,-0.097366
796,-0.098252
797,-1.0
798,0.885801
799,0.940701
800,-0.083899
801,-0.097366
802,-0.092556
803,-0.097366
804,-0.094438
805,-0.097366
806,-0.095261
807,-0.097366
808,-0.095723
809,-0.097366
810,-0.096019
811,-0.097366
812,-0.096224
813,-0.097366
814,-0.096375
815,-0.097366
816,-0.096491
817,-1.0
818,-0.048599
819,-0.054411
820,-0.052176
821,-0.054411
822,-0.053027
823,-0.054411
824,-0.053409
825,-0.054411
826,-0.053626
827,-0.054411
828,-0.053766
829,-0.054411
830,-0.053863
831,-0.054411
832,-0.053935
833,-0.054411
834,-0.05399
835,-1.0
836,-0.114199
837,-0.097366
838,-0.102545
839,-0.097366
840,-0.100426
841,-0.097366
842,-0.099538
843,-0.097366
844,-0.099049
845,-0.097366
846,-0.09874
847,-0.097366
848,-0.098526
849,-0.097366
850,-0.098371
851,-0.097366
852,-0.098252
853,-1.0
854,0.951401
855,-0.083899
856,-0.097366
857,-0.092556
858,-0.097366
859,-0.094438
860,-0.097366
861,-0.095261
862,-0.097366
863,-0.095723
864,-0.097366
865,-0.096019
866,-0.097366
867,-0.096224
868,-0.097366
869,-0.096375
870,-0.097366
871,-0.096491
872,-1.0
873,-0.083899
874,-0.097366
875,-0.092556
876,-0.097366
877,-0.094438
878,-0.097366
879,-0.095261
880,-0.097366
881,-0.095723
882,-0.097366
883,-0.096019
884,-0.097366
885,-0.096224
886,-0.097366
887,-0.096375
888,-0.097366
889,-0.096491
890,-1.0
891,0.885801
892,0.951401
893,-0.114199
894,-0.077754
895,0.925659
896,0.940701
897,-0.060399
898,-0.072149
899,0.915837
900,0.939601
901,0.916101
902,0.939601
903,-0.048599
904,0.945589
905,-0.083899
906,-0.097366
907,-0.092556
908,-0.097366
909,-0.094438
910,-0.097366
911,-0.095261
912,-0.097366
913,-0.095723
914,-0.097366
915,-0.096019
916,-0.097366
917,-0.096224
918,-0.097366
919,-0.096375
920,-0.097366
921,-0.096491
922,-1.0
